trade_date,gross_return,turnover,entry_count,hold_count,transaction_cost,strategy_return,net_value,running_peak,drawdown,signal_gross_budget,vol_scale,drawdown_scale,gross_exposure,trend_asset_count,active_signal_count,score_spread_top1_top2,avg_active_excess_score,realized_vol_lookback
2023-10-13,0.015963302752293435,0.0,1,1,0.0,0.015963302752293435,1.0861368144445136,1.0986826930199898,-0.011419019026313149,0.6326118787708293,1.75,1.0,1.05,2,1,,0.2043625174038275,0.005319068422938547
2023-10-16,0.003253292021688555,0.0,1,1,0.0,0.003253292021688555,1.0896703346774081,1.0986826930199898,-0.008202876408118343,0.6013702639617093,1.75,1.0,1.05,1,1,,0.32267044905404285,0.0065655632366578365
2023-10-17,-0.00027027027027021005,0.09713328806700894,0,1,2.9139986420102677e-05,-0.00029941025669031273,1.0893440762027946,1.0986826930199898,-0.008499830639477679,0.5444952639617092,1.75,1.0,0.9528667119329911,0,1,,0.32267044905404285,0.005843680832297782
2023-10-18,0.002207981567300806,0.9528667119329911,0,0,0.00028586001357989733,0.0019221215537209087,1.0914379279310822,1.0986826930199898,-0.006594046793431896,0.0,1.75,1.0,0.0,0,0,,0.0,0.005598572301622629
2023-10-19,0.0,0.0,0,0,0.0,0.0,1.0914379279310822,1.0986826930199898,-0.006594046793431896,0.0,1.75,1.0,0.0,0,0,,0.0,0.005297388854762244
2023-10-20,0.0,0.0,0,0,0.0,0.0,1.0914379279310822,1.0986826930199898,-0.006594046793431896,0.0,1.75,1.0,0.0,1,0,,0.0,0.0045830918412987
2023-10-23,0.0,0.0,0,0,0.0,0.0,1.0914379279310822,1.0986826930199898,-0.006594046793431896,0.0,1.75,1.0,0.0,2,0,,0.0,0.004583091841298701
2023-10-24,0.0,0.0,0,0,0.0,0.0,1.0914379279310822,1.0986826930199898,-0.006594046793431896,0.0,1.75,1.0,0.0,2,0,,0.0,0.004583091841298701
2023-10-25,0.0,0.0,0,0,0.0,0.0,1.0914379279310822,1.0986826930199898,-0.006594046793431896,0.0,1.75,1.0,0.0,2,0,,0.0,0.004583091841298701
2023-10-26,0.0,0.0,0,0,0.0,0.0,1.0914379279310822,1.0986826930199898,-0.006594046793431896,0.0,1.75,1.0,0.0,2,0,,0.0,0.004580040577113799
